provincia;Latitude;Longitude
Capital Federal;-34.6037;-58.3816
Buenos Aires;-34.6037;-58.3816
Río Negro;-41.5000;-67.5000
Mendoza;-32.8908;-68.8272
Santa Fe;-31.6333;-60.7000
Tucumán;-26.8167;-65.2167
Entre Ríos;-32.0000;-60.0000
Santa Cruz;-49.0000;-68.0000
Neuquén;-38.9516;-68.0591
Córdoba;-31.4167;-64.1833
Chaco;-27.4514;-58.9868
Catamarca;-28.4706;-65.7872
Salta;-24.7821;-65.4232
San Juan;-31.5375;-68.5364
Jujuy;-24.1946;-65.2971
Chubut;-43.3000;-65.5000
Misiones;-27.3333;-55.8667
Tierra del Fuego;-54.8019;-68.3029
San Luis;-33.3000;-66.3500
Corrientes;-27.4833;-58.8167
La Pampa;-37.5000;-66.0000
La Rioja;-29.4111;-66.8507
Santiago del Estero;-27.7833;-64.2667
Formosa;-26.1775;-58.1781
